Timestamp start,Timestamp end,Duration,Status,Code,Message,Comment,Service contract category,IEC category,Global contract category,Custom contract category
2022-05-19 07:24:50,2022-05-19 07:25:38,00:00:48,Informational,10,Wind < start wind,,External stop (low wind speed)  (5),Out of Environmental Specification,,
2022-05-19 07:24:50,-,-,Informational,100070,Brake program 50,,,Out of Environmental Specification,,
2022-05-19 07:25:38,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-19 07:25:38,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-19 07:35:32,2022-05-19 07:47:09,00:11:37,Stop,20,Manual stop - on site,,Manual stop (service)  (9),Scheduled Maintenance,06 (Int) Scheduled Maintenance,
2022-05-19 07:35:32,-,-,Informational,100050,Brake program 60,,,Technical Standby,,
2022-05-19 07:45:56,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-19 07:45:56,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2022-05-19 07:46:01,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-19 07:46:04,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-19 07:46:42,-,-,Informational,100050,Brake program 60,,,Technical Standby,,
2022-05-19 07:47:09,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-19 07:47:09,-,-,Informational,100100,Open disc brake,,,Full Performance,,
2022-05-19 07:47:09,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2022-05-19 07:47:14,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-19 07:47:58,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-19 07:48:53,2022-05-19 07:49:22,00:00:29,Stop,210,Manual brake,,Manual stop (service)  (9),Scheduled Maintenance,06 (Int) Scheduled Maintenance,
2022-05-19 07:48:53,-,-,Informational,100050,Brake program 60,,,Technical Standby,,
2022-05-19 07:49:22,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-19 07:49:22,-,-,Informational,100100,Open disc brake,,,Full Performance,,
2022-05-19 07:49:22,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2022-05-19 07:49:27,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-19 07:50:21,-,-,Informational,100180,Run-up,,,Technical Standby,,
2022-05-19 07:50:41,2022-05-19 12:39:57,04:49:16,Stop,210,Manual brake,,Manual stop (service)  (9),Scheduled Maintenance,06 (Int) Scheduled Maintenance,
2022-05-19 07:50:41,-,-,Informational,100050,Brake program 60,,,Technical Standby,,
2022-05-19 07:51:16,-,-,Informational,0,System OK,,System OK (32),Full Performance,,
2022-05-19 07:51:16,-,-,Informational,100100,Open disc brake,,,Full Performance,,
2022-05-19 07:51:16,-,-,Informational,100110,Bypass limit switches,,,Full Performance,,
2022-05-19 07:51:21,-,-,Informational,100130,Automatic start-up,,,Full Performance,,
2022-05-19 07:51:27,-,-,Informational,100050,Brake program 60,,,Technical Standby,,
2022-05-19 07:54:09,-,-,Informational,100010,Brake program 200,,,Full Performance,,
2022-05-19 08:51:04,2022-05-19 12:40:02,03:48:58,Warning,2125,Timeout brake closed,,Warnings (27),,,
2022-05-19 09:57:10,2022-05-19 10:57:10,01:00:00,Warning,720,Pitch batteries charging cycle,,Warnings (27),,,
2022-05-19 10:12:40,2022-05-19 10:13:21,00:00:41,Warning,716,Battery charge cycle axis 1 error,,Warnings (27),,,
2022-05-19 10:12:40,2022-05-19 10:13:21,00:00:41,Warning,717,Battery charge cycle axis 2 error,,Warnings (27),,,
